PDB		Total Strands	Length	AvgLength	MinLength	MaxLength	Radius	Barrel Tilt
4FSO	15	28.307907	16.9214661916097	2.605001449584961	32.470001220703125	0	40.60364222715502	0	-999
4FSP	12	28.92245	15.476749976476034	3.87600040435791	35.4379997253418	0	37.57593319974384	0	-999
4GEY	16	25.51838	21.78549885749817	10.055000305175781	33.62199783325195	0	42.96701736199189	0	-999
4K3B	16	24.825981	13.521687507629395	0.5139999389648438	25.793001174926758	0	45.90112805654923	0	-999
4MEE	12	37.592842	16.990416447321575	1.2859992980957031	37.93299865722656	0	40.15630637696601	0	-999
4N75	16	25.999392	25.865500450134277	13.152000427246094	35.680999755859375	0	45.61780703043017	0	-999
4Q35	26	29.085512	17.397846221923828	0.7160000801086426	34.77799987792969	0	42.20247284529425	0	-999
4QKY	16	28.306082	17.80750021338463	1.7190008163452148	44.70600128173828	0	43.42098619521639	0	-999
4RJW	16	30.220428	30.20206218957901	11.89699935913086	49.430999755859375	0	43.128629592734306	0	-999
4RL8	12	31.564486	15.268000523249308	1.0150012969970703	23.96000099182129	0	42.02764590653246	0	-999
4RLC	8	29.702267	29.10275101661682	21.24300193786621	43.0890007019043	0	41.09694877562617	0	-999
4Y25	16	30.295097	22.146498680114746	3.5959930419921875	41.8699951171875	0	40.54839249099301	0	-999
4ZGV	22	33.515087	17.349090576171875	3.204000473022461	43.02799987792969	0	39.537768428463465	0	-999
5DL5	18	27.606823	27.522833559248184	12.523999214172363	35.24500274658203	0	43.59333849843561	0	-999
5DL6	18	27.104692	27.037499798668755	13.085999488830566	39.76899719238281	0	43.95746627887552	0	-999
5DL7	18	26.334587	12.09266644053989	1.4669990539550781	19.05500030517578	0	42.975389897285524	0	-999
5DL8	18	27.256054	25.7160545984904	9.863998413085938	37.16899871826172	0	43.598264802127105	0	-999
5FQ8	22	36.549034	15.50763656876304	0.25300025939941406	40.047000885009766	0	40.356213646465285	0	-999
5MDO	16	26.400599	10.905749797821045	3.1889991760253906	19.638999938964844	0	42.336513502716556	0	-999
5O65	12	26.413925	17.409666697184246	0.35900020599365234	34.20199966430664	0	40.518146653775844	0	-999
5T3R	22	33.675495	33.10890752618963	18.535995483398438	59.66900634765625	0	39.81858256353194	0	-999
6BPM	22	36.85448	32.11245363408869	13.292999267578125	56.342002868652344	0	39.844494927172065	0	-999
6E4V	20	37.00406	19.795250058174133	3.3319997787475586	39.83599853515625	0	39.82318151271063	0	-999
6EHB	12	26.706575	12.289249738057455	0.4780006408691406	48.99599838256836	0	35.61654251014705	0	-999
6EUS	16	26.661139	26.112063884735107	8.966995239257812	40.12700653076172	0	43.51088818265381	0	-999
6FOK	22	34.76635	13.40690872885964	0.32399749755859375	37.801002502441406	0	39.885487163299395	0	-999
6GIE	11	28.078007	28.524181019176137	22.28900146484375	34.477996826171875	0	37.72305653551582	0	-999
6H3I	14	20.725513	10.410782950265068	0.709991455078125	26.90399169921875	0	37.07509852283262	0	-999
6H3I	14	20.725513	10.410782950265068	0.709991455078125	26.90399169921875	0	37.07509852283262	0	-999
6H7F	10	45.913998	12.662899851799011	1.0239999294281006	32.75199890136719	0	30.88675211968029	0	-999
6I96	22	35.944275	35.69540951468728	18.60799789428711	60.87699890136719	0	40.284573760676125	0	-999
6QWR	5	30.772411	13.0364013671875	0.44100189208984375	27.524999618530273	0	49.58970181604167	0	-999
6R2Q	26	34.938366	16.00384620519785	2.1409997940063477	30.56100082397461	0	37.342635245547456	0	-999
6SLJ	22	34.840927	34.46013641357422	20.298999786376953	62.574005126953125	0	40.522314640959756	0	-999
6TZK	16	34.247257	33.80568730831146	19.189998626708984	53.2859992980957	0	40.94734740445946	0	-999
6UCU	19	22.035332	21.20420998021176	11.715011596679688	30.813003540039062	0	38.78713626923993	0	-999
6V81	22	33.27184	25.688954440030184	16.75699806213379	42.68199920654297	0	38.400604828489705	0	-999
