PDB,mutated_pdb,mutated_conflicts,conflicted_pdb,all_conflicts
1YC9,True,"ENGINEERED, CONFLICT",True,"ENGINEERED, CONFLICT"
1GFP,True,ENGINEERED,True,ENGINEERED
4D5U,False,,False,
2WMZ,True,ENGINEEREDMUTATION,True,"SEEREMARK999, ENGINEEREDMUTATION"
1K24,False,,False,
6UZB,False,,False,
1XKW,False,,False,
4Q35,False,,True,EXPRESSIONTAG
5WAQ,False,,True,EXPRESSIONTAG
2XE3,False,,True,SEEREMARK999
3LKF,False,,False,
1MPM,False,,False,
4FSO,False,,True,EXPRESSIONTAG
6EHB,False,,False,
5NUP,True,CONFLICT,True,CONFLICT
2IAH,False,,False,
6U3F,False,,False,
5ODW,False,,True,EXPRESSIONTAG
4LSI,False,,True,EXPRESSIONTAG
4XNK,False,,False,
4AUI,True,CONFLICT,True,CONFLICT
3VZU,False,,False,
1QFG,False,,True,INTRACHAINHISTAG
4Q7G,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
4FOZ,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, CLONINGARTIFACT, ENGINEEREDMUTATION"
7BRM,False,,False,
2GR8,False,,True,CLONINGARTIFACT
2Y0L,False,,False,
4UV3,False,,False,
1NQF,True,ENGINEERED,True,ENGINEERED
3RGN,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
5FVN,False,,False,
2QDZ,False,,False,
1UYN,False,,False,
4B7O,False,,True,"EXPRESSIONTAG, SEEREMARK999"
3OHN,False,,True,EXPRESSIONTAG
6EHE,True,CONFLICT,True,CONFLICT
3FYX,True,ENGINEERED,True,ENGINEERED
3BRZ,False,,True,"VARIANT, EXPRESSIONTAG"
5PRN,True,ENGINEERED,True,ENGINEERED
1E54,False,,True,MODIFIEDRESIDUE
2VDE,True,"CONFLICT, ENGINEEREDMUTATION",True,"CONFLICT, ENGINEEREDMUTATION"
6SLN,False,,True,EXPRESSIONTAG
3RGM,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
4QKY,False,,False,
2K4T,False,,True,EXPRESSIONTAG
2XMN,True,"CONFLICT, ENGINEEREDMUTATION",True,"CONFLICT, ENGINEEREDMUTATION"
5FR8,False,,True,EXPRESSIONTAG
2GSK,False,,False,
2W77,False,,False,
3NJT,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
5LDT,False,,False,
4LSE,False,,True,EXPRESSIONTAG
1THQ,False,,True,CLONINGARTIFACT
4LSF,False,,True,EXPRESSIONTAG
3PGS,True,ENGINEEREDMUTATION,True,"ENGINEEREDMUTATION, EXPRESSIONTAG"
4RLC,False,,True,EXPRESSIONTAG
3JTY,False,,True,EXPRESSIONTAG
1UUN,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
3Q54,False,,False,
5AZP,False,,True,EXPRESSIONTAG
3T24,False,,False,
3POQ,False,,False,
4GF4,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
5NC4,False,,True,EXPRESSIONTAG
3DDR,True,ENGINEERED,True,"EXPRESSIONTAG, SEEREMARK999, ENGINEERED"
2POR,False,,False,
4RL8,False,,True,EXPRESSIONTAG
2O4V,False,,False,
2R89,True,"DELETION, CONFLICT",True,"DELETION, CONFLICT, EXPRESSIONTAG"
6U23,False,,True,EXPRESSIONTAG
4MEE,True,CONFLICT,True,"EXPRESSIONTAG, CONFLICT"
2YHC,True,CONFLICT,True,"EXPRESSIONTAG, CONFLICT"
3PRN,True,ENGINEERED,True,ENGINEERED
2W78,False,,False,
3AEH,True,ENGINEERED,True,"EXPRESSIONTAG, ENGINEERED"
4EPA,False,,True,EXPRESSIONTAG
5O9C,False,,False,
3X2R,False,,False,
4K3C,False,,False,
3RFZ,False,,True,EXPRESSIONTAG
1MPO,False,,False,
5OYK,True,CONFLICT,True,CONFLICT
6F2E,False,,False,
1KMP,False,,False,
1NQH,False,,False,
5AZS,False,,True,EXPRESSIONTAG
1Q9F,True,ENGINEERED,True,ENGINEERED
5WLN,False,,False,
6UZE,False,,False,
6HCP,False,,True,EXPRESSIONTAG
4Y25,False,,True,EXPRESSIONTAG
2FCP,True,INSERTION,True,INSERTION
2ZFG,False,,False,
1FW2,False,,True,N-TERMINALEXTENSION
2YH5,False,,True,EXPRESSIONTAG
2BEG,False,,False,
4XNL,False,,False,
2MHL,False,,True,EXPRESSIONTAG
2Y0H,False,,False,
6G73,False,,True,EXPRESSIONTAG
7AHL,False,,False,
1OSM,False,,False,
1QKC,True,INSERTION,True,INSERTION
2MPR,False,,False,
6KZ3,False,,False,
5NXU,False,,False,
4P1X,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
4K7R,False,,True,EXPRESSIONTAG
6TZK,False,,True,EXPRESSIONTAG
2YH3,True,CONFLICT,True,"CONFLICT, EXPRESSIONTAG"
6N38,False,,True,EXPRESSIONTAG
6UCV,False,,True,EXPRESSIONTAG
6T1W,False,,False,
1UJW,False,,False,
5D0O,False,,True,EXPRESSIONTAG
6RWK,False,,False,
5O78,False,,False,
5XDO,False,,True,EXPRESSIONTAG
3HW9,False,,False,
5AYW,False,,True,EXPRESSIONTAG
2FGQ,False,,False,
6I98,False,,False,
6O2N,False,,False,
4E1S,False,,False,
5WC3,False,,True,EXPRESSIONTAG
2W16,False,,False,
3M4D,True,ENGINEERED,True,ENGINEERED
5IMW,True,CONFLICT,True,CONFLICT
6EHC,False,,False,
3BRY,False,,True,EXPRESSIONTAG
2LME,False,,True,EXPRESSIONTAG
5IUY,False,,True,EXPRESSIONTAG
1WXR,False,,False,
3UPG,True,DELETION,True,DELETION
3SZV,False,,True,EXPRESSIONTAG
6UMM,False,,False,
3QLB,False,,True,SEEREMARK999
6OFR,False,,False,
2X8X,True,CONFLICT,True,CONFLICT
5EC5,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
5NUR,False,,False,
5OUT,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
2R4L,True,"ENGINEERED, CONFLICT",True,"ENGINEERED, CONFLICT, EXPRESSIONTAG"
3POR,False,,False,
6FOM,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
2YNK,False,,False,
1ORM,True,ENGINEERED,True,ENGINEERED
4J3O,True,CONFLICT,True,"EXPRESSIONTAG, CONFLICT"
3K1B,False,,False,
5EKQ,False,,False,
2VDD,True,"CONFLICT, ENGINEEREDMUTATION",True,"CONFLICT, ENGINEEREDMUTATION"
4HSC,False,,False,
5MZS,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
2QCZ,False,,True,CLONINGARTIFACT
6CD2,False,,True,EXPRESSIONTAG
2HDI,True,ENGINEERED,True,"CLONINGARTIFACT, ENGINEERED, EXPRESSIONTAG"
6RCP,False,,True,EXPRESSIONTAG
6L7A,False,,False,
5NR2,False,,True,EXPRESSIONTAG
6TIQ,False,,True,EXPRESSIONTAG
6Q5E,False,,False,
4TW1,False,,True,EXPRESSIONTAG
8PRN,True,ENGINEERED,True,ENGINEERED
5JDP,True,CONFLICT,True,"EXPRESSIONTAG, CONFLICT"
2XE1,False,,False,
5FP1,False,,True,EXPRESSIONTAG
6U3Y,False,,False,
3VY8,False,,False,
6I1Y,True,CONFLICT,True,CONFLICT
2JK4,False,,False,
2OMF,False,,False,
1FEP,False,,True,MODIFIEDRESIDUE
3CSL,False,,True,"SEEREMARK999, EXPRESSIONTAG"
4Q79,False,,False,
4BUM,False,,True,EXPRESSIONTAG
2D1U,False,,True,EXPRESSIONTAG
6H3J,True,CONFLICT,True,CONFLICT
4RLB,False,,True,EXPRESSIONTAG
1PO3,False,,False,
3KWV,True,"ENGINEERED, DELETION",True,"ENGINEERED, DELETION"
3JQO,False,,True,SEEREMARK999
4P24,True,ENGINEEREDMUTATION,True,"INITIATINGMETHIONINE, ENGINEEREDMUTATION, EXPRESSIONTAG"
1KMO,False,,False,
3ML3,False,,True,"EXPRESSIONTAG, SEEREMARK999"
4PR7,False,,True,EXPRESSIONTAG
4GCS,False,,True,EXPRESSIONTAG
3QRC,False,,True,INITIATINGMETHIONINE
5WAM,False,,True,EXPRESSIONTAG
1BY3,True,CONFLICT,True,CONFLICT
2N2L,False,,False,
1GFQ,True,ENGINEERED,True,ENGINEERED
3HWB,False,,False,
5WQ8,False,,False,
5WQ7,False,,False,
2YSU,False,,False,
5XDN,False,,True,EXPRESSIONTAG
4KR4,False,,False,
4RDR,False,,True,EXPRESSIONTAG
3Q7M,False,,True,EXPRESSIONTAG
4AIP,True,CONFLICT,True,"EXPRESSIONTAG, CONFLICT"
3NSG,False,,False,
3B07,False,,True,EXPRESSIONTAG
1GFM,True,ENGINEERED,True,ENGINEERED
5MDO,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
2MLH,False,,False,
5FQ8,False,,False,
4LSH,False,,True,EXPRESSIONTAG
5DL5,False,,True,EXPRESSIONTAG
4RHB,False,,True,EXPRESSIONTAG
3VZT,False,,False,
5D5D,False,,False,
5LY6,True,CONFLICT,True,CONFLICT
4FQE,False,,True,EXPRESSIONTAG
1G90,True,ENGINEERED,True,ENGINEERED
6FSU,True,CONFLICT,True,"INITIATINGMETHIONINE, EXPRESSIONTAG, CONFLICT"
5DL8,False,,True,EXPRESSIONTAG
2WVP,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
4C4V,True,CONFLICT,True,CONFLICT
2ODJ,False,,True,"EXPRESSIONTAG, MODIFIEDRESIDUE"
3FHH,False,,False,
2VQI,False,,False,
3EMN,False,,True,EXPRESSIONTAG
5O65,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
2XG6,False,,True,SEEREMARK999
5O8O,False,,False,
6R2Q,True,CONFLICT,True,CONFLICT
3O44,True,CONFLICT,True,CONFLICT
3VY9,False,,False,
1TLW,False,,True,EXPRESSIONTAG
4K3B,False,,False,
2R88,True,CONFLICT,True,"SEEREMARK999, CONFLICT, EXPRESSIONTAG"
1XKH,False,,False,
6RB9,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
3POU,False,,False,
2LAF,False,,True,EXPRESSIONTAG
5IMY,True,CONFLICT,True,"EXPRESSIONTAG, CONFLICT, INITIATINGMETHIONINE"
6O2O,False,,False,
2K0L,False,,True,EXPRESSIONTAG
4V3G,False,,True,EXPRESSIONTAG
4DCB,True,"ENGINEEREDMUTATION, INSERTION",True,"ENGINEEREDMUTATION, EXPRESSIONTAG, INSERTION"
2JQY,False,,False,
2IXW,False,,False,
5O68,True,"ENGINEEREDMUTATION, CONFLICT",True,"EXPRESSIONTAG, ENGINEEREDMUTATION, CONFLICT"
1T1L,False,,True,EXPRESSIONTAG
5BUN,False,,False,
4AFK,False,,False,
3CSN,False,,True,"SEEREMARK999, EXPRESSIONTAG"
3DWO,False,,True,EXPRESSIONTAG
1FI1,False,,True,INTRACHAINHISTAG
6S3S,False,,True,EXPRESSIONTAG
4RL9,False,,True,EXPRESSIONTAG
4C00,False,,True,EXPRESSIONTAG
1TQQ,False,,False,
6V78,False,,True,EXPRESSIONTAG
2R4N,True,"ENGINEERED, CONFLICT",True,"ENGINEERED, CONFLICT, EXPRESSIONTAG"
4JFB,False,,False,
2GUF,False,,False,
7PRN,True,ENGINEERED,True,ENGINEERED
4D51,False,,False,
5VJ8,False,,False,
1EK9,False,,True,MODIFIEDRESIDUE
6OQH,True,"DELETION, CONFLICT",True,"DELETION, CONFLICT"
3SZE,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
1F02,False,,True,CLONINGARTIFACT
5IXM,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
6UZD,False,,False,
4FT6,False,,True,EXPRESSIONTAG
4P1Y,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
3V8X,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, VARIANT, ENGINEEREDMUTATION"
6EUS,True,CONFLICT,True,"EXPRESSIONTAG, CONFLICT"
1HXX,True,ENGINEERED,True,ENGINEERED
3SY7,False,,True,"SEEREMARK999, EXPRESSIONTAG"
1TLZ,False,,True,EXPRESSIONTAG
6V05,True,ENGINEEREDMUTATION,True,"ENGINEEREDMUTATION, EXPRESSIONTAG, LINKER"
1QJQ,True,INSERTION,True,INSERTION
5DQX,False,,False,
1PVL,True,CONFLICT,True,CONFLICT
3QKY,False,,True,EXPRESSIONTAG
5NXN,True,"DELETION, CONFLICT",True,"DELETION, CONFLICT"
4XGA,False,,False,
1QD5,False,,False,
6E14,True,CONFLICT,True,"CONFLICT, EXPRESSIONTAG, INITIATINGMETHIONINE"
1A0T,False,,False,
1A0S,False,,False,
2X4M,True,ENGINEEREDMUTATION,True,"ENGINEEREDMUTATION, EXPRESSIONTAG"
6U2S,False,,False,
4FRX,False,,True,EXPRESSIONTAG
3EFC,False,,True,EXPRESSIONTAG
5B5R,False,,True,EXPRESSIONTAG
2Y0K,False,,True,EXPRESSIONTAG
6I97,False,,False,
6RD3,False,,True,EXPRESSIONTAG
2X27,False,,True,EXPRESSIONTAG
6PRN,True,ENGINEERED,True,ENGINEERED
3A2S,False,,False,
3SLJ,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
2MNH,True,CONFLICT,True,CONFLICT
6WUH,False,,False,
2J1N,False,,False,
1UYO,False,,False,
3KVN,False,,True,EXPRESSIONTAG
3EFM,False,,True,EXPRESSIONTAG
1QJP,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
1AF6,False,,False,
4KRA,False,,False,
1GFN,True,DELETION,True,DELETION
4D65,False,,False,
6U4P,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
5O67,True,"ENGINEEREDMUTATION, CONFLICT",True,"EXPRESSIONTAG, ENGINEEREDMUTATION, CONFLICT"
5IYU,False,,False,
4FRT,False,,True,EXPRESSIONTAG
2XE5,False,,True,SEEREMARK999
4C69,False,,True,EXPRESSIONTAG
2IXX,False,,False,
1BH3,True,ENGINEERED,True,ENGINEERED
1PHO,False,,False,
6DV3,False,,False,
6SJL,False,,False,
2HDF,True,ENGINEERED,True,"CLONINGARTIFACT, MODIFIEDRESIDUE, ENGINEERED"
6OKU,False,,False,
4GEY,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
1MM5,False,,True,EXPRESSIONTAG
6H7F,False,,True,EXPRESSIONTAG
1QD6,False,,False,
3M8D,False,,False,
4MJT,False,,False,
3TGO,False,,True,EXPRESSIONTAG
5O77,False,,False,
6V0C,False,,False,
6V81,False,,False,
6E15,True,CONFLICT,True,"CONFLICT, EXPRESSIONTAG, INITIATINGMETHIONINE"
6CXO,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
3P1L,False,,True,EXPRESSIONTAG
4Y1K,False,,True,EXPRESSIONTAG
1BT9,True,ENGINEERED,True,ENGINEERED
3PIK,False,,True,EXPRESSIONTAG
2FGR,False,,True,SEEREMARK999
1PNZ,False,,False,
3PF1,True,ENGINEEREDMUTATION,True,"ENGINEEREDMUTATION, EXPRESSIONTAG"
4V3H,False,,True,EXPRESSIONTAG
3MC9,False,,True,EXPRESSIONTAG
2YH9,False,,True,EXPRESSIONTAG
3FIP,False,,True,EXPRESSIONTAG
1HXT,True,ENGINEERED,True,ENGINEERED
1PFO,True,CONFLICT,True,CONFLICT
6H03,False,,False,
6I1X,True,CONFLICT,True,CONFLICT
6E4V,False,,False,
6QGY,True,ENGINEEREDMUTATION,True,"INITIATINGMETHIONINE, EXPRESSIONTAG, ENGINEEREDMUTATION"
6KLX,False,,False,
1WP1,False,,True,EXPRESSIONTAG
5IVA,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
6SGW,False,,False,
1QJ9,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
2ERV,False,,False,
2X9K,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
5MDS,False,,False,
2YH6,False,,False,
3VZW,False,,False,
3QRA,False,,True,INITIATINGMETHIONINE
5IV9,False,,False,
4GCQ,False,,True,EXPRESSIONTAG
3WI5,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
2F1T,False,,True,EXPRESSIONTAG
3GP6,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
4RAP,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
4H56,False,,True,EXPRESSIONTAG
5DL6,False,,True,EXPRESSIONTAG
5NUQ,False,,False,
